24;0;p
24;2;p
24;6;p
22;12;p
20;16;p
16;25;p
14;29;p
12;35;p
10;40;p
8;44;p
5;49;p
4;52;p
4;55;p
2;57;p
2;60;p
1;61;p
1;63;p
1;64;p
1;66;p
0;68;p
0;69;p
0;70;p
0;70;p
0;71;p
2;71;p
5;71;p
6;71;p
9;71;p
13;71;p
17;71;p
22;71;p
27;71;p
31;71;p
35;71;p
38;71;p
42;71;p
48;71;p
52;71;p
56;72;p
59;72;p
63;74;p
66;74;p
69;74;p
72;75;p
74;75;p
76;75;p
79;75;p
80;75;p
82;75;p
84;75;p
84;75;p
85;75;p
86;75;p
86;74;p
86;74;p
86;73;p
86;72;p
86;71;p
86;70;p
84;67;p
83;66;p
80;63;p
76;61;p
72;58;p
70;54;p
67;50;p
64;46;p
62;43;p
60;41;p
58;36;p
57;34;p
55;32;p
54;30;p
52;28;p
51;26;p
50;26;p
50;24;p
50;24;p
50;23;p
