0;116;p
4;112;p
4;108;p
6;103;p
9;98;p
14;90;p
18;83;p
20;78;p
26;68;p
29;63;p
33;58;p
35;52;p
39;46;p
42;41;p
44;37;p
47;32;p
49;28;p
50;27;p
50;26;p
51;25;p
52;24;p
52;23;p
52;22;p
52;22;p
53;21;p
53;20;p
54;20;p
54;19;p
56;18;p
59;14;p
60;12;p
62;9;p
63;8;p
64;7;p
64;5;p
65;4;p
66;3;p
67;2;p
67;1;p
68;0;p
70;2;p
73;6;p
79;14;p
83;22;p
85;27;p
90;35;p
94;42;p
97;47;p
101;55;p
105;61;p
109;68;p
109;71;p
113;77;p
115;81;p
119;88;p
121;93;p
124;100;p
126;102;p
128;105;p
128;106;p
129;108;p
131;112;p
133;115;p
134;117;p
135;119;p
135;120;p
136;123;p
