65;0;p
61;4;p
59;6;p
58;8;p
57;9;p
55;11;p
54;12;p
53;13;p
52;14;p
50;16;p
49;17;p
47;19;p
45;20;p
44;22;p
43;23;p
42;24;p
40;27;p
38;29;p
37;31;p
34;34;p
32;37;p
30;39;p
28;41;p
27;42;p
24;45;p
23;46;p
20;49;p
17;51;p
15;53;p
14;54;p
13;55;p
12;56;p
10;58;p
9;59;p
8;60;p
7;61;p
5;63;p
4;64;p
3;65;p
2;66;p
1;67;p
0;68;p
1;68;p
4;68;p
8;68;p
10;68;p
13;68;p
15;68;p
16;68;p
19;68;p
21;68;p
24;68;p
26;68;p
29;68;p
31;68;p
34;68;p
38;68;p
41;68;p
45;68;p
49;68;p
53;68;p
56;68;p
60;68;p
61;68;p
64;68;p
65;68;p
68;68;p
69;68;p
70;68;p
71;68;p
73;68;p
75;68;p
78;68;p
81;68;p
84;68;p
88;68;p
90;68;p
93;68;p
95;68;p
98;68;p
100;68;p
103;68;p
105;68;p
108;68;p
111;68;p
114;68;p
116;68;p
118;68;p
120;68;p
123;68;p
124;68;p
125;68;p
127;68;p
129;68;p
130;68;p
133;68;p
134;68;p
135;68;p
136;68;p
138;68;p
139;68;p
138;67;p
137;66;p
136;65;p
134;63;p
132;60;p
131;59;p
130;57;p
129;56;p
128;55;p
127;54;p
126;53;p
125;51;p
123;49;p
122;48;p
120;46;p
119;45;p
118;44;p
116;42;p
114;40;p
113;39;p
112;37;p
111;36;p
109;34;p
108;33;p
108;32;p
107;31;p
106;30;p
106;28;p
105;27;p
104;26;p
103;25;p
102;24;p
101;23;p
100;22;p
98;20;p
97;19;p
94;17;p
93;16;p
92;15;p
90;14;p
88;13;p
87;12;p
86;11;p
85;11;p
84;10;p
83;10;p
82;9;p
80;7;p
79;7;p
77;6;p
76;5;p
75;5;p
74;4;p
73;4;p
72;3;p
